disease,postLink,postHeading,postContent
Nail Disorders,https://patient.info/forums/discuss/finger-nail-pathology-800943,Finger nail pathology ,"Hello- my finger top and nail bed have become progressively large large over the last three months. The nail started with a few white striations in the lower 1/3 and has now progressed to turning a creamy colour. Dermatologist was unsure- thinks its not fungal as its coming from the nail bed up. Testing for auto immune type things. I cant find any picture online that matches it. Its slightly tender to touch but not really sore. 0 likes, 0 replies "
Nail Disorders,https://patient.info/forums/discuss/toe-fungus-to-nail-under-nail-783961,Toe fungus to nail under nail,"So, I have had a fungus on my left big toe for a while (about a year) , and just left it. Recently it cracked and the left side of the nail became unattached. I cut this part of the nail off. Antiseptic wiped it and am now using fungus remover. However there seems to be a separate nail growing ( half my toe nail had been cut off ) , and it looks like it's growing into the nail bed. What should I do? ( also point to add, I would go to a podiatrist but my financial situation is not the best , and I don't know if the NHS covers them , I'm quite worried and can attach a picture of my toe if it provides more details ) 0 likes, 0 replies "
Nail Disorders,https://patient.info/forums/discuss/fingernail-detached-from-bed-783578,Fingernail detached from bed,"My fingernail has slowly been coming detached from the fingernail bed.  It has gotten to the point now that it is detached down to the cuticle.  I've tried cutting off the detached part and putting petroleum jelly on the nail bed with a bandage.  I've been doing this for about 4-5 months and haven't seen any progress.  Please help. Thanks! 0 likes, 0 replies "
Nail Disorders,https://patient.info/forums/discuss/help-identify-this-nail-issue-784611,Help identify this nail issue ,"My middle finger on  my right hand when looking at the tip of finger towards wrist the nail dips down see picture. I do remember getting an instrument caught in between my nail and finger quite deep into the nail bed as a teenager i was cleaning a dental scaler. yes the pain was off the charts.  0 likes, 2 replies "
Headache,https://patient.info/forums/discuss/left-side-head-pressure-tender-spot-neck-issues-507738,"Left side head pressure, tender spot, neck issues","Hello, I am new here but I am a little concerned. I am a healthy 35yr old male however I have been dealing with left side head pressure for the last 5 weeks. I don't get a real bad headache but its mostly just pressure and its pretty much with me 24/7. I have noticed when I lay down or go to the gym with my headphones on it is not as bad but always there, I seem to feel it more when standing but again its always there even when sitting at my desk at work. I will list a few of my symptoms below in a moment but I did want to mention the last 2 years have been rough after going through a tough separation with my fiancée and only seeing my son a couple days a week instead of daily so my stress and anxiety was really bad for a while however I am dealing with that better now so I have a hard time believing this is stress related. I am a very anxious person and do not do well at the doctors, my blood pressure and heart rate go through the roof even just at a check up. The last few months I have not felt like myself, I have had a bad stomach my whole life but it got worse around November 2015 and I was having chest pains and tightness, long story short I saw my doctor multiple times and was diagnosed with GERD and I also had an EKG and Stress Test Echo on my heart which all came out fine thank god. Now a couple months later I was finally feeling a little better, chest issues and stomach still kind of there but no where near as bad and then randomly get hit with this head pressure one Sunday night after just laying on my couch. I went to the doctor after 2 weeks of the head pressure and he tried 2 weeks of muscle relaxers thinking it was my neck, my neck is super tight especially left side where the head pressure is and he told me to stop going to the chiropractor. I was going to the chiropractor for just a couple months before all this happened because my neck and left shoulder always hurt (I work out in the gym and think part of it is from that, I used to lift very heavy but I don't as much anymore). The funny thing is a week before this head pressure started my chiropractor did his usual neck crack on both sides and I remember it almost hurting, feeling different then normal and sent pain through my head. I honestly wonder if he did something to me and if this is from my neck however almost 6 weeks and still feel the same? Advil doesn't do much, muscle relaxers didn't work. I am doing neck stretches and just bought a hand held massager this past week for my neck and head. My doctor did not think brain tumor at my visit based of my symptoms and said my reflexes were good.  Sorry for the long post but hoping for some help, my doctor is now referring me to a neurologist but I am trying to hard to push it off a little more hoping it gets better, I have enough medical bills and I am trying to tell myself this has to be from my neck or something that will heal eventually. I know brain tumors are pretty rare but of course I am having anxiety over that. Symptoms: -left side head pressure 24/7. -some pressure in left eye and ear but not terrible. -neck issues, especially left side, recently got a massage and the massage therapist said my upper back and neck were extremely tight. Chiropractor although I haven't been in a few weeks doctors orders said my C-1 or 2 joint cant remember which one was out of place. I have been doing neck stretches and using a tennis ball. -some lightheadedness and fatigue, nothing crazy and could be stress since I think about this and worry all day. -just noticed this week I have a tender spot on the bone top left back side of head. -no weight loss, no fever, appetite ok for the most part, stomach ache some days but no vomiting.  I do get a little bit of facial tingles in the left side of my cheek and especially my chin, it is not constant and comes and goes. This did start a couple months before this and I went to the dentist because I still have 3 of my wisdom teeth. He did say they could come out and my bottom right one was coming in a little crooked and could be causing some pressure. He did I could hold off for a bit and it wasnt an emergency and that could be causing some of my chin numbness and tingles. Also I am constantly popping my ears because they feel a little blocked and my nose feels a little congested but this has been going on for a while and is not something new, maybe allergies Hopefully some suggestions and feedback will help, I will see neurologist if this doesn't improve but again I am trying to wait just a little longer on that. 7 likes, 265 replies "
Headache,https://patient.info/forums/discuss/stress-related-headache-795020,Stress related headache,"Hi I have a headache - Finding it difficult to get on with my work on PC. Any advice? Its a small headache but want it cleared. How can I do that? 0 likes, 0 replies "
Headache,https://patient.info/forums/discuss/ive-been-feeling-very-weird-and-out-of-focus-for-the-past-2-weeks--794443,Ive been feeling very weird and out of focus for the past 2 weeks. ,"Hello everyone, a little backstory first because its a bit complex and there might be many reasons to as to why i feel like this but here it goes. About a month or so I was having some stomach acid issues so my doctor prescribed me medication. After taking it i had an allergic reaction to it and side effects which firstly cause me to feel completely restless and anxious. And then evolved into my tongue moving completely on its own. We went to the hospital and they gave me glucose through the IV which caused the side effects to ward off and i was feeling better. However after coming home the next day I was having massive anxiety and panic attacks thinking ""what if it happens again"" and sometimes i would have that restless feeling again. Not wanting to drink pills any more i decided to opt out for CBD to see if that would help my anxiety. However the CBD in the stores are expensive and the guy at the counter said he would instead give me some of his own CBD that he was growing but wasn't allowed to legally sell as it has slightly higher THC than allowed. Later that day I came home and wanted to try it. I had about 4 pulls of smoke when I immediately felt this sort of dizzy feeling almost as if i was constantly falling through the earth. I stopped after only 4 puffs. Thinking it was only temporary I went to sleep. However after that with each day passing it only felt like it was getting worse. The feeling i feel is impossible really to describe I usually say my head is spinning and i feel dizzy but thats not exactly the case. I can see everything normal visually but it feels like my brain is receiving 50% of information and im lost in space. Sometimes when i turn my head to look at something it takes me good 20 seconds of staring at it to finally see whats going on. It feels like im completely drunk at times. My head is spinning but without the spinning part. I went to get a blood test to see if there was anything and nothing came up. Im confused and scared that this might be permanent. Its been 2 weeks and no change. What the hell is going on with me? 0 likes, 0 replies "
Headache,https://patient.info/forums/discuss/annie-bad-headaches-795537,Annie Bad headaches ,"hello All , im hoping someone on here can give some advice , my problems all started about 3 weeks ago ! I started with a headache for a few days and feeling sick . I then went to my doctors 3 Days later and when i was there she took my blood pressure and it was very high , I was put on 5mg blood pressure tablets and said the headaches may be from my blood pressure , the pressure is coming down now but my headaches are still bad !! have been back to the doctors twice since again about my headaches  plus  i have had 3 lots of bloods taken and a ACG , Im so down with my headaches they are waking me up at night now now as well with terrable pain on my right side of head , Once the pain killers ware off im needing more !! pain is getting me so low . 0 likes, 0 replies "
Headache,https://patient.info/forums/discuss/head-pressure-inability-to-focus-794992,"Head pressure, inability to focus","Title says it all really. Was prescribed amitriptyline but after it seemed to make it worse after a few times I stopped. Been there for 4 months, started as a very bad brain fog. Sometimes it disappears or lessens, other times it's there constantly. It really affects my cognitive abilities too, I make typing mistakes that I never used to and forget things that I would never ordinarily forget. I'm going to university later this year and really need a solution so I can get through exams this year and live my life again. It can also be impossible to focus and process info. Had a period months ago where everything was aching, and also have + continue to have some gut problems. Fish oil briefly helped and ibuprofen served its purpose recently but nothing has a permanent effect. I'm a healthy guy, I'm no fitness guru, but I stay in shape. I drink only on special occasions and I don't do drugs. So no idea why this is affecting me. I need solutions. 0 likes, 0 replies "
Headache,https://patient.info/forums/discuss/spaced-out-795817,Spaced out ,"hi ive been reading some posts and have similer symptoms.  feeling spaced out headaches unable to fully focus 0 likes, 0 replies "
